RobotID,PosX,PosY,TimeFoundLocation,
50,80,28,0,
51,77,50,0,
52,1,50,0,
53,55,20,0,
54,23,35,0,
55,13,31,0,
56,26,56,0,
57,28,13,0,
58,6,48,0,
59,6,23,0,
60,87,83,0,
61,92,27,0,
62,70,19,0,
63,69,4,0,
64,45,58,0,
65,10,75,0,
66,26,22,0,
67,77,89,0,
68,53,94,0,
69,98,79,0,
70,30,71,0,
71,83,94,0,
72,21,9,0,
73,68,27,0,
74,4,44,0,
75,20,97,0,
76,58,40,0,
77,71,55,0,
78,34,94,0,
79,12,8,0,
80,45,57,0,
81,8,21,0,
82,79,46,0,
83,94,22,0,
84,15,66,0,
85,80,54,0,
86,59,24,0,
87,43,22,0,
88,38,77,0,
89,87,53,0,
90,11,85,0,
91,90,20,0,
92,47,89,0,
93,16,13,0,
94,7,67,0,
95,90,97,0,
96,63,26,0,
97,71,76,0,
98,55,84,0,
99,80,98,0,
18,54,18,7,
26,51,43,7,
31,50,33,7,
20,46,12,7,
29,59,24,7,
39,43,35,7,
6,46,27,7,
19,62,38,7,
10,55,40,7,
49,54,40,7,
25,53,29,7,
45,67,12,7,
16,42,24,7,
23,41,30,7,
15,65,36,7,
0,51,28,7,
17,52,43,7,
7,57,33,7,
1,66,49,8,
28,42,42,8,
33,72,47,8,
13,31,22,8,
30,58,28,8,
8,61,51,8,
32,65,54,8,
46,61,25,8,
22,68,13,8,
5,64,7,8,
37,40,52,8,
4,20,37,8,
48,52,16,8,
14,66,51,8,
11,34,39,8,
47,34,58,9,
38,24,45,9,
21,26,37,9,
27,42,59,9,
12,19,47,10,
3,35,56,10,
43,19,11,11,
35,5,20,11,
42,75,26,12,
34,30,58,15,
2,25,57,15,
36,76,40,18,
41,64,65,19,
9,62,61,19,
40,58,67,20,
44,32,67,22,
